,threshold,n_targeted,expected_revenue_saved,total_cost,net_benefit,roi_pct
0,0.05,1181,24815.89,35430.0,-10614.11,-29.96
1,0.1,1058,24058.39,31740.0,-7681.61,-24.2
2,0.15,973,23185.94,29190.0,-6004.06,-20.57
3,0.2,908,22259.85,27240.0,-4980.15,-18.28
4,0.25,845,21201.51,25350.0,-4148.49,-16.36
5,0.3,794,20254.23,23820.0,-3565.77,-14.97
6,0.35,749,19312.92,22470.0,-3157.08,-14.05
7,0.4,702,18084.2,21060.0,-2975.8,-14.13
8,0.45,635,16149.88,19050.0,-2900.12,-15.22
9,0.5,594,14375.67,17820.0,-3444.33,-19.33
10,0.55,523,12379.39,15690.0,-3310.61,-21.1
11,0.6,477,11117.94,14310.0,-3192.06,-22.31
12,0.65,432,9898.46,12960.0,-3061.54,-23.62
13,0.7,367,8339.44,11010.0,-2670.56,-24.26
14,0.75,289,5855.88,8670.0,-2814.12,-32.46
15,0.8,210,4104.89,6300.0,-2195.11,-34.84
16,0.85,124,2048.93,3720.0,-1671.07,-44.92
17,0.9,26,284.62,780.0,-495.38,-63.51
18,0.95,0,0.0,0.0,0.0,0.0
